title,tag,info,comments,content
占星术杀人魔法,豆瓣图书标签: 推理小说,（日）岛田庄司 / 王鹏帆 / 新星出版社 / 2012-5 / 28.00元,(19516人评价),四十年前，一桩占星术连续杀人案件轰动全日本！先是画家梅泽平吉在密室被人重击致死，接着是他早已出嫁的长女在家中被奸杀，最后甚至连与他同住的六个女儿也全部失踪。...
四元馆事件,豆瓣图书标签: 推理小说,[日]早坂吝 / 王皎娇 / 新星出版社 / 2022-4 / 45.00元,(405人评价),"美少女VS美少女
AI侦探深入奇妙之馆，谜团升级
暗黑家族，神秘建筑，消失无踪的邪恶力量
再诡异的案件，也必然有难逃法网的真凶
早坂吝
第五十届梅菲斯特奖得..."
网内人,豆瓣图书标签: 推理小说,陈浩基 / 九州出版社 / 2019-8 / 62.00元,(17927人评价),"四十年来首度入选《周刊文春》海外推理BEST10的亚洲作家，《周刊文春》2018年度推理小说&海外推理双冠军得主
2018“这本推理小说了不起！”（このミス..."
白夜行,豆瓣图书标签: 推理小说,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,(396709人评价),"东野圭吾万千书迷心中的无冕之王
周刊文春推理小说年度BEST10第1名
本格推理小说年度BEST10第2名
《白夜行》是东野圭吾迄今口碑最好的长篇杰作，具备..."
﻿哈利·波特,豆瓣图书标签: 奇幻,J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 / 人民文学出版社 / 2008-12-1 / 498.00元,(73109人评价),"《哈利·波特(共7册)(精)》编著者J.K.罗琳。
    《哈利·波特(共7册)(精)》内容提要：2000年的一个深夜，在美国书店的烛光中，穿着黑斗篷，戴..."
冰与火之歌,豆瓣图书标签: 奇幻,乔治·马丁 / 谭光磊、屈畅、胡绍晏 / 重庆出版社 / 2013-10-1 / 330.00元,(14628人评价),《冰与火之歌》（A Song of Ice and Fire）是由美国著名科幻奇幻小说家乔治·R·R·马丁（George R.R. Martin）所著的史诗...
さよなら絵梨,豆瓣图书标签: 奇幻,藤本 タツキ / 2022-7-4 / 46,(2896人评价),病の母が死ぬまで、スマートフォンで撮影をしていた優太。彼は母の死後、自殺をするために向かった病院の屋上で、とある少女に出会い、映画を撮影することになるのだが...
猎魔人（卷一）,豆瓣图书标签: 奇幻,[波兰] 安杰伊·萨普科夫斯基 / 乌兰、赵琳、小龙 / 重庆出版社 / 2020-8 / 72.8,(898人评价),"他骑马从北方来，一头白发，满面风霜；
他是异乡客，也是猎魔人，以斩妖除魔为己任，行走在现实与传说的迷雾之间。
脖子粗短，白牙锋利，以人类为食的“睡美人”；
..."
生死疲劳,豆瓣图书标签: 奇幻,莫言 / 浙江文艺出版社 / 2022-1 / 69.90,(9721人评价),"◆ 不看不知道，莫言真幽默！在极度痛苦时笑出声来，获得内心深处的解脱。
◆ 莫言：“诺奖的评委主要是因为读完了《生死疲劳》，才把这个奖项授给了我。”
◆ 不..."
气球人,豆瓣图书标签: 奇幻,陈浩基 / 花城出版社 / 2021-5-31 / 59.8,(3320人评价),本书是华文推理鬼才陈浩基耗时9年完成的超越自我的科幻推理短篇连作。主人公“气球人”无意中发现自己身怀异能，只要是有生命的东西，一接触目标的皮肤，他就可以输入...
魔戒,豆瓣图书标签: 奇幻,[英] J.R.R.托尔金 / 邓嘉宛、石中歌、杜蕴慈 / 上海人民出版社 / 2013-9 / 169.00元,(8176人评价),"★献给未来的永恒经典，我们时代最伟大的奇幻史诗。
★20世纪严肃想象力之源，蕴含对世间万物最本真的好奇心与最深刻的洞察力。
★ J.K.罗琳、乔治•马丁、彼..."
